Measured on 12:25:22 27/11/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-20.000
Comments: 	 2 retard grids, and supp grid.

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	20.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	1.923E-10
2.000E-2	1.929E-10
4.000E-2	1.929E-10
6.000E-2	1.929E-10
8.000E-2	1.934E-10
1.000E-1	1.936E-10
1.200E-1	1.936E-10
1.400E-1	1.937E-10
1.600E-1	1.938E-10
1.800E-1	1.937E-10
2.000E-1	1.938E-10
2.200E-1	1.941E-10
2.400E-1	1.942E-10
2.600E-1	1.942E-10
2.800E-1	1.943E-10
3.000E-1	1.946E-10
3.200E-1	1.948E-10
3.400E-1	1.949E-10
3.600E-1	1.952E-10
3.800E-1	1.955E-10
4.000E-1	1.957E-10
4.200E-1	1.958E-10
4.400E-1	1.960E-10
4.600E-1	1.964E-10
4.800E-1	1.966E-10
5.000E-1	1.966E-10
5.200E-1	1.969E-10
5.400E-1	1.973E-10
5.600E-1	1.974E-10
5.800E-1	1.974E-10
6.000E-1	1.979E-10
6.200E-1	1.983E-10
6.400E-1	1.986E-10
6.600E-1	1.990E-10
6.800E-1	1.992E-10
7.000E-1	1.995E-10
7.200E-1	1.996E-10
7.400E-1	2.000E-10
7.600E-1	2.001E-10
7.800E-1	2.003E-10
8.000E-1	2.005E-10
8.200E-1	2.005E-10
8.400E-1	2.006E-10
8.600E-1	2.007E-10
8.800E-1	2.005E-10
9.000E-1	2.008E-10
9.200E-1	2.009E-10
9.400E-1	2.009E-10
9.600E-1	2.011E-10
9.800E-1	2.014E-10
1.000E+0	2.016E-10
1.020E+0	2.022E-10
1.040E+0	2.024E-10
1.060E+0	2.030E-10
1.080E+0	2.031E-10
1.100E+0	2.035E-10
1.120E+0	2.038E-10
1.140E+0	2.039E-10
1.160E+0	2.039E-10
1.180E+0	2.042E-10
1.200E+0	2.045E-10
1.220E+0	2.051E-10
1.240E+0	2.052E-10
1.260E+0	2.057E-10
1.280E+0	2.062E-10
1.300E+0	2.063E-10
1.320E+0	2.069E-10
1.340E+0	2.071E-10
1.360E+0	2.075E-10
1.380E+0	2.080E-10
1.400E+0	2.082E-10
1.420E+0	2.084E-10
1.440E+0	2.088E-10
1.460E+0	2.092E-10
1.480E+0	2.097E-10
1.500E+0	2.100E-10
1.520E+0	2.110E-10
1.540E+0	2.119E-10
1.560E+0	2.122E-10
1.580E+0	2.124E-10
1.600E+0	2.128E-10
1.620E+0	2.150E-10
1.640E+0	2.176E-10
1.660E+0	2.199E-10
1.680E+0	2.237E-10
1.700E+0	2.280E-10
1.720E+0	2.331E-10
1.740E+0	2.384E-10
1.760E+0	2.432E-10
1.780E+0	2.474E-10
1.800E+0	2.511E-10
1.820E+0	2.541E-10
1.840E+0	2.588E-10
1.860E+0	2.640E-10
1.880E+0	2.694E-10
1.900E+0	2.716E-10
1.920E+0	2.731E-10
1.940E+0	2.652E-10
1.960E+0	2.571E-10
1.980E+0	2.701E-10
2.000E+0	2.814E-10
2.020E+0	1.974E-10
2.040E+0	3.589E-11
2.060E+0	-1.581E-12
2.080E+0	-1.708E-12
2.100E+0	-1.635E-12
2.120E+0	-1.748E-12
2.140E+0	-1.764E-12
2.160E+0	-1.782E-12
2.180E+0	-1.874E-12
2.200E+0	-1.986E-12
