Measured on 14:02:24 06/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	1000.000
Extractor (%): 	99.000
Focus 1 (%): 	67.000
Focus 2 (%): 	6.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-400.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	69.000

Sweep start (kV): 	0.000
Sweep end (kV): 	1.100
Sweep step (V): 	15.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	7.187E-12
1.500E-2	7.146E-12
3.000E-2	7.096E-12
4.500E-2	7.364E-12
6.000E-2	7.397E-12
7.500E-2	7.158E-12
9.000E-2	7.398E-12
1.050E-1	7.224E-12
1.200E-1	7.121E-12
1.350E-1	7.293E-12
1.500E-1	7.310E-12
1.650E-1	7.237E-12
1.800E-1	7.220E-12
1.950E-1	7.282E-12
2.100E-1	7.277E-12
2.250E-1	7.264E-12
2.400E-1	7.217E-12
2.550E-1	7.234E-12
2.700E-1	7.261E-12
2.850E-1	7.191E-12
3.000E-1	7.240E-12
3.150E-1	7.275E-12
3.300E-1	7.265E-12
3.450E-1	7.278E-12
3.600E-1	7.250E-12
3.750E-1	7.322E-12
3.900E-1	7.263E-12
4.050E-1	7.213E-12
4.200E-1	7.304E-12
4.350E-1	7.303E-12
4.500E-1	7.269E-12
4.650E-1	7.291E-12
4.800E-1	7.307E-12
4.950E-1	7.288E-12
5.100E-1	7.256E-12
5.250E-1	7.263E-12
5.400E-1	7.282E-12
5.550E-1	7.278E-12
5.700E-1	7.268E-12
5.850E-1	7.302E-12
6.000E-1	7.330E-12
6.150E-1	7.386E-12
6.300E-1	7.365E-12
6.450E-1	7.394E-12
6.600E-1	7.490E-12
6.750E-1	7.580E-12
6.900E-1	7.574E-12
7.050E-1	7.704E-12
7.200E-1	7.831E-12
7.350E-1	7.782E-12
7.500E-1	7.908E-12
7.650E-1	8.059E-12
7.800E-1	8.028E-12
7.950E-1	8.098E-12
8.100E-1	8.246E-12
8.250E-1	8.369E-12
8.400E-1	8.371E-12
8.550E-1	8.468E-12
8.700E-1	8.604E-12
8.850E-1	8.694E-12
9.000E-1	8.759E-12
9.150E-1	8.896E-12
9.300E-1	9.016E-12
9.450E-1	9.111E-12
9.600E-1	9.335E-12
9.750E-1	9.606E-12
9.900E-1	8.418E-12
1.005E+0	4.414E-12
1.020E+0	-4.451E-13
1.035E+0	-5.472E-13
1.050E+0	-5.117E-13
1.065E+0	-5.327E-13
1.080E+0	-5.464E-13
1.095E+0	-5.165E-13
