Measured on 14:04:46 06/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	1000.000
Extractor (%): 	99.000
Focus 1 (%): 	67.000
Focus 2 (%): 	6.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-500.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	69.000

Sweep start (kV): 	0.000
Sweep end (kV): 	1.100
Sweep step (V): 	15.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	7.114E-12
1.500E-2	7.129E-12
3.000E-2	7.206E-12
4.500E-2	7.033E-12
6.000E-2	7.195E-12
7.500E-2	7.226E-12
9.000E-2	7.403E-12
1.050E-1	7.257E-12
1.200E-1	7.537E-12
1.350E-1	7.204E-12
1.500E-1	7.117E-12
1.650E-1	7.262E-12
1.800E-1	7.230E-12
1.950E-1	7.259E-12
2.100E-1	7.310E-12
2.250E-1	7.236E-12
2.400E-1	7.236E-12
2.550E-1	7.281E-12
2.700E-1	7.285E-12
2.850E-1	7.284E-12
3.000E-1	7.264E-12
3.150E-1	7.359E-12
3.300E-1	7.261E-12
3.450E-1	7.284E-12
3.600E-1	7.308E-12
3.750E-1	7.293E-12
3.900E-1	7.341E-12
4.050E-1	7.274E-12
4.200E-1	7.298E-12
4.350E-1	7.297E-12
4.500E-1	7.292E-12
4.650E-1	7.277E-12
4.800E-1	7.342E-12
4.950E-1	7.378E-12
5.100E-1	7.282E-12
5.250E-1	7.318E-12
5.400E-1	7.355E-12
5.550E-1	7.352E-12
5.700E-1	7.271E-12
5.850E-1	7.340E-12
6.000E-1	7.361E-12
6.150E-1	7.299E-12
6.300E-1	7.333E-12
6.450E-1	7.372E-12
6.600E-1	7.351E-12
6.750E-1	7.316E-12
6.900E-1	7.329E-12
7.050E-1	7.387E-12
7.200E-1	7.383E-12
7.350E-1	7.351E-12
7.500E-1	7.316E-12
7.650E-1	7.419E-12
7.800E-1	7.454E-12
7.950E-1	7.483E-12
8.100E-1	7.505E-12
8.250E-1	7.551E-12
8.400E-1	7.702E-12
8.550E-1	7.783E-12
8.700E-1	7.816E-12
8.850E-1	7.978E-12
9.000E-1	8.112E-12
9.150E-1	8.210E-12
9.300E-1	8.298E-12
9.450E-1	8.472E-12
9.600E-1	8.691E-12
9.750E-1	8.899E-12
9.900E-1	7.801E-12
1.005E+0	4.395E-12
1.020E+0	-2.744E-13
1.035E+0	-4.210E-13
1.050E+0	-5.128E-13
1.065E+0	-5.118E-13
1.080E+0	-5.671E-13
1.095E+0	-5.954E-13
