Measured on 11:41:12 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-200.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	25.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.329E-10
2.500E-2	2.334E-10
5.000E-2	2.338E-10
7.500E-2	2.335E-10
1.000E-1	2.332E-10
1.250E-1	2.339E-10
1.500E-1	2.344E-10
1.750E-1	2.347E-10
2.000E-1	2.346E-10
2.250E-1	2.348E-10
2.500E-1	2.353E-10
2.750E-1	2.355E-10
3.000E-1	2.375E-10
3.250E-1	2.410E-10
3.500E-1	2.480E-10
3.750E-1	2.550E-10
4.000E-1	2.615E-10
4.250E-1	2.655E-10
4.500E-1	2.695E-10
4.750E-1	2.721E-10
5.000E-1	2.735E-10
5.250E-1	2.768E-10
5.500E-1	2.787E-10
5.750E-1	2.797E-10
6.000E-1	2.817E-10
6.250E-1	2.840E-10
6.500E-1	2.853E-10
6.750E-1	2.867E-10
7.000E-1	2.888E-10
7.250E-1	2.899E-10
7.500E-1	2.914E-10
7.750E-1	2.924E-10
8.000E-1	2.943E-10
8.250E-1	2.961E-10
8.500E-1	2.973E-10
8.750E-1	2.994E-10
9.000E-1	3.001E-10
9.250E-1	3.016E-10
9.500E-1	3.042E-10
9.750E-1	3.061E-10
1.000E+0	3.075E-10
1.025E+0	3.078E-10
1.050E+0	3.093E-10
1.075E+0	3.118E-10
1.100E+0	3.133E-10
1.125E+0	3.158E-10
1.150E+0	3.182E-10
1.175E+0	3.200E-10
1.200E+0	3.216E-10
1.225E+0	3.227E-10
1.250E+0	3.271E-10
1.275E+0	3.293E-10
1.300E+0	3.311E-10
1.325E+0	3.340E-10
1.350E+0	3.355E-10
1.375E+0	3.370E-10
1.400E+0	3.393E-10
1.425E+0	3.409E-10
1.450E+0	3.412E-10
1.475E+0	3.432E-10
1.500E+0	3.452E-10
1.525E+0	3.475E-10
1.550E+0	3.485E-10
1.575E+0	3.517E-10
1.600E+0	3.526E-10
1.625E+0	3.547E-10
1.650E+0	3.570E-10
1.675E+0	3.591E-10
1.700E+0	3.630E-10
1.725E+0	3.661E-10
1.750E+0	3.718E-10
1.775E+0	3.754E-10
1.800E+0	3.793E-10
1.825E+0	3.848E-10
1.850E+0	3.907E-10
1.875E+0	3.975E-10
1.900E+0	4.044E-10
1.925E+0	4.135E-10
1.950E+0	4.237E-10
1.975E+0	4.410E-10
2.000E+0	4.404E-10
2.025E+0	3.462E-10
2.050E+0	1.624E-10
2.075E+0	-7.645E-12
2.100E+0	-2.594E-11
2.125E+0	-2.509E-11
2.150E+0	-2.582E-11
2.175E+0	-2.594E-11
2.200E+0	-2.589E-11
