Measured on 11:08:14 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-450.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.450E-10
5.000E-2	2.453E-10
1.000E-1	2.448E-10
1.500E-1	2.444E-10
2.000E-1	2.451E-10
2.500E-1	2.450E-10
3.000E-1	2.449E-10
3.500E-1	2.451E-10
4.000E-1	2.453E-10
4.500E-1	2.454E-10
5.000E-1	2.453E-10
5.500E-1	2.455E-10
6.000E-1	2.458E-10
6.500E-1	2.468E-10
7.000E-1	2.529E-10
7.500E-1	2.732E-10
8.000E-1	3.025E-10
8.500E-1	3.317E-10
9.000E-1	3.541E-10
9.500E-1	3.713E-10
1.000E+0	3.837E-10
1.050E+0	3.938E-10
1.100E+0	4.007E-10
1.150E+0	4.066E-10
1.200E+0	4.111E-10
1.250E+0	4.148E-10
1.300E+0	4.185E-10
1.350E+0	4.214E-10
1.400E+0	4.234E-10
1.450E+0	4.256E-10
1.500E+0	4.284E-10
1.550E+0	4.314E-10
1.600E+0	4.347E-10
1.650E+0	4.389E-10
1.700E+0	4.421E-10
1.750E+0	4.456E-10
1.800E+0	4.498E-10
1.850E+0	4.533E-10
1.900E+0	4.554E-10
1.950E+0	4.574E-10
2.000E+0	4.608E-10
2.050E+0	4.636E-10
2.100E+0	4.671E-10
2.150E+0	4.709E-10
2.200E+0	4.733E-10
2.250E+0	4.769E-10
2.300E+0	4.808E-10
2.350E+0	4.836E-10
2.400E+0	4.884E-10
2.450E+0	4.928E-10
2.500E+0	4.974E-10
2.550E+0	5.011E-10
2.600E+0	5.052E-10
2.650E+0	5.092E-10
2.700E+0	5.137E-10
2.750E+0	5.170E-10
2.800E+0	5.201E-10
2.850E+0	5.242E-10
2.900E+0	5.270E-10
2.950E+0	5.298E-10
3.000E+0	5.333E-10
3.050E+0	5.365E-10
3.100E+0	5.397E-10
3.150E+0	5.435E-10
3.200E+0	5.481E-10
3.250E+0	5.536E-10
3.300E+0	5.578E-10
3.350E+0	5.619E-10
3.400E+0	5.672E-10
3.450E+0	5.732E-10
3.500E+0	5.785E-10
3.550E+0	5.858E-10
3.600E+0	5.928E-10
3.650E+0	5.999E-10
3.700E+0	6.074E-10
3.750E+0	6.169E-10
3.800E+0	6.272E-10
3.850E+0	6.405E-10
3.900E+0	6.601E-10
3.950E+0	6.406E-10
4.000E+0	4.580E-10
4.050E+0	1.646E-10
4.100E+0	-3.561E-11
4.150E+0	-3.586E-11
4.200E+0	-3.512E-11
