Measured on 10:48:29 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.479E-10
5.000E-2	2.484E-10
1.000E-1	2.490E-10
1.500E-1	2.638E-10
2.000E-1	3.222E-10
2.500E-1	3.369E-10
3.000E-1	3.420E-10
3.500E-1	3.437E-10
4.000E-1	3.452E-10
4.500E-1	3.481E-10
5.000E-1	3.517E-10
5.500E-1	3.553E-10
6.000E-1	3.599E-10
6.500E-1	3.647E-10
7.000E-1	3.693E-10
7.500E-1	3.739E-10
8.000E-1	3.791E-10
8.500E-1	3.839E-10
9.000E-1	3.879E-10
9.500E-1	3.919E-10
1.000E+0	3.958E-10
1.050E+0	4.000E-10
1.100E+0	4.034E-10
1.150E+0	4.071E-10
1.200E+0	4.114E-10
1.250E+0	4.147E-10
1.300E+0	4.178E-10
1.350E+0	4.214E-10
1.400E+0	4.255E-10
1.450E+0	4.289E-10
1.500E+0	4.319E-10
1.550E+0	4.347E-10
1.600E+0	4.373E-10
1.650E+0	4.398E-10
1.700E+0	4.437E-10
1.750E+0	4.483E-10
1.800E+0	4.524E-10
1.850E+0	4.564E-10
1.900E+0	4.611E-10
1.950E+0	4.649E-10
2.000E+0	4.681E-10
2.050E+0	4.714E-10
2.100E+0	4.751E-10
2.150E+0	4.774E-10
2.200E+0	4.807E-10
2.250E+0	4.845E-10
2.300E+0	4.876E-10
2.350E+0	4.909E-10
2.400E+0	4.952E-10
2.450E+0	4.989E-10
2.500E+0	5.025E-10
2.550E+0	5.070E-10
2.600E+0	5.117E-10
2.650E+0	5.157E-10
2.700E+0	5.197E-10
2.750E+0	5.244E-10
2.800E+0	5.274E-10
2.850E+0	5.293E-10
2.900E+0	5.327E-10
2.950E+0	5.363E-10
3.000E+0	5.394E-10
3.050E+0	5.419E-10
3.100E+0	5.456E-10
3.150E+0	5.488E-10
3.200E+0	5.515E-10
3.250E+0	5.559E-10
3.300E+0	5.614E-10
3.350E+0	5.657E-10
3.400E+0	5.704E-10
3.450E+0	5.760E-10
3.500E+0	5.815E-10
3.550E+0	5.873E-10
3.600E+0	5.942E-10
3.650E+0	6.025E-10
3.700E+0	6.109E-10
3.750E+0	6.202E-10
3.800E+0	6.312E-10
3.850E+0	6.457E-10
3.900E+0	6.663E-10
3.950E+0	6.418E-10
4.000E+0	4.551E-10
4.050E+0	1.580E-10
4.100E+0	-3.704E-11
4.150E+0	-3.633E-11
4.200E+0	-3.514E-11
