Measured on 13:53:22 06/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	1000.000
Extractor (%): 	99.000
Focus 1 (%): 	67.000
Focus 2 (%): 	6.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	69.000

Sweep start (kV): 	0.000
Sweep end (kV): 	1.100
Sweep step (V): 	15.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	7.063E-12
1.500E-2	6.981E-12
3.000E-2	7.024E-12
4.500E-2	7.208E-12
6.000E-2	7.018E-12
7.500E-2	6.800E-12
9.000E-2	7.223E-12
1.050E-1	7.006E-12
1.200E-1	7.012E-12
1.350E-1	7.113E-12
1.500E-1	7.171E-12
1.650E-1	7.117E-12
1.800E-1	7.203E-12
1.950E-1	7.187E-12
2.100E-1	7.315E-12
2.250E-1	7.362E-12
2.400E-1	7.343E-12
2.550E-1	7.372E-12
2.700E-1	7.423E-12
2.850E-1	7.459E-12
3.000E-1	7.462E-12
3.150E-1	7.445E-12
3.300E-1	7.514E-12
3.450E-1	7.517E-12
3.600E-1	7.509E-12
3.750E-1	7.505E-12
3.900E-1	7.581E-12
4.050E-1	7.613E-12
4.200E-1	7.614E-12
4.350E-1	7.624E-12
4.500E-1	7.585E-12
4.650E-1	7.699E-12
4.800E-1	7.697E-12
4.950E-1	7.677E-12
5.100E-1	7.733E-12
5.250E-1	7.792E-12
5.400E-1	7.800E-12
5.550E-1	7.782E-12
5.700E-1	7.886E-12
5.850E-1	7.872E-12
6.000E-1	7.873E-12
6.150E-1	7.887E-12
6.300E-1	7.928E-12
6.450E-1	7.976E-12
6.600E-1	8.020E-12
6.750E-1	7.963E-12
6.900E-1	8.057E-12
7.050E-1	8.086E-12
7.200E-1	8.092E-12
7.350E-1	8.152E-12
7.500E-1	8.233E-12
7.650E-1	8.204E-12
7.800E-1	8.190E-12
7.950E-1	8.279E-12
8.100E-1	8.356E-12
8.250E-1	8.423E-12
8.400E-1	8.492E-12
8.550E-1	8.561E-12
8.700E-1	8.670E-12
8.850E-1	8.705E-12
9.000E-1	8.851E-12
9.150E-1	9.006E-12
9.300E-1	9.222E-12
9.450E-1	9.316E-12
9.600E-1	9.572E-12
9.750E-1	1.003E-11
9.900E-1	8.456E-12
1.005E+0	3.541E-12
1.020E+0	-6.048E-13
1.035E+0	-6.524E-13
1.050E+0	-7.007E-13
1.065E+0	-7.475E-13
1.080E+0	-6.384E-13
1.095E+0	-5.706E-13
