Measured on 14:13:05 06/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 supp man -700V
Projectile: 	 Ar

Energy (V): 	1000.000
Extractor (%): 	99.000
Focus 1 (%): 	67.000
Focus 2 (%): 	6.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-700.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	69.000

Sweep start (kV): 	0.000
Sweep end (kV): 	1.100
Sweep step (V): 	15.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	7.284E-12
1.500E-2	7.353E-12
3.000E-2	7.389E-12
4.500E-2	7.308E-12
6.000E-2	7.153E-12
7.500E-2	7.327E-12
9.000E-2	7.285E-12
1.050E-1	7.211E-12
1.200E-1	7.350E-12
1.350E-1	7.207E-12
1.500E-1	7.384E-12
1.650E-1	7.363E-12
1.800E-1	7.353E-12
1.950E-1	7.357E-12
2.100E-1	7.360E-12
2.250E-1	7.345E-12
2.400E-1	7.320E-12
2.550E-1	7.439E-12
2.700E-1	7.385E-12
2.850E-1	7.361E-12
3.000E-1	7.322E-12
3.150E-1	7.355E-12
3.300E-1	7.296E-12
3.450E-1	7.340E-12
3.600E-1	7.256E-12
3.750E-1	7.334E-12
3.900E-1	7.359E-12
4.050E-1	7.377E-12
4.200E-1	7.322E-12
4.350E-1	7.319E-12
4.500E-1	7.443E-12
4.650E-1	7.460E-12
4.800E-1	7.383E-12
4.950E-1	7.377E-12
5.100E-1	7.389E-12
5.250E-1	7.331E-12
5.400E-1	7.388E-12
5.550E-1	7.416E-12
5.700E-1	7.432E-12
5.850E-1	7.351E-12
6.000E-1	7.348E-12
6.150E-1	7.459E-12
6.300E-1	7.384E-12
6.450E-1	7.279E-12
6.600E-1	7.395E-12
6.750E-1	7.416E-12
6.900E-1	7.398E-12
7.050E-1	7.356E-12
7.200E-1	7.466E-12
7.350E-1	7.411E-12
7.500E-1	7.400E-12
7.650E-1	7.430E-12
7.800E-1	7.430E-12
7.950E-1	7.444E-12
8.100E-1	7.440E-12
8.250E-1	7.518E-12
8.400E-1	7.557E-12
8.550E-1	7.545E-12
8.700E-1	7.565E-12
8.850E-1	7.627E-12
9.000E-1	7.619E-12
9.150E-1	7.659E-12
9.300E-1	7.739E-12
9.450E-1	7.819E-12
9.600E-1	7.954E-12
9.750E-1	8.211E-12
9.900E-1	7.256E-12
1.005E+0	4.243E-12
1.020E+0	4.820E-14
1.035E+0	-2.025E-13
1.050E+0	-2.185E-13
1.065E+0	-2.558E-13
1.080E+0	-2.396E-13
1.095E+0	-1.967E-13
