Measured on 14:52:18 29/11/2024
Operated by: 	 Ennio, Kristof 
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 2 retarding grids, suppr no grid small diameter

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.772E-10
5.000E-2	2.769E-10
1.000E-1	2.765E-10
1.500E-1	2.757E-10
2.000E-1	2.748E-10
2.500E-1	2.743E-10
3.000E-1	2.738E-10
3.500E-1	2.727E-10
4.000E-1	2.721E-10
4.500E-1	2.718E-10
5.000E-1	2.713E-10
5.500E-1	2.701E-10
6.000E-1	2.700E-10
6.500E-1	2.716E-10
7.000E-1	2.745E-10
7.500E-1	2.754E-10
8.000E-1	2.731E-10
8.500E-1	2.690E-10
9.000E-1	2.656E-10
9.500E-1	2.654E-10
1.000E+0	2.709E-10
1.050E+0	2.797E-10
1.100E+0	2.886E-10
1.150E+0	3.014E-10
1.200E+0	3.154E-10
1.250E+0	3.355E-10
1.300E+0	3.512E-10
1.350E+0	3.654E-10
1.400E+0	3.755E-10
1.450E+0	3.839E-10
1.500E+0	3.910E-10
1.550E+0	3.962E-10
1.600E+0	4.028E-10
1.650E+0	4.128E-10
1.700E+0	4.207E-10
1.750E+0	4.261E-10
1.800E+0	4.309E-10
1.850E+0	4.361E-10
1.900E+0	4.404E-10
1.950E+0	4.467E-10
2.000E+0	4.508E-10
2.050E+0	4.576E-10
2.100E+0	4.632E-10
2.150E+0	4.666E-10
2.200E+0	4.689E-10
2.250E+0	4.729E-10
2.300E+0	4.739E-10
2.350E+0	4.751E-10
2.400E+0	4.756E-10
2.450E+0	4.767E-10
2.500E+0	4.769E-10
2.550E+0	4.776E-10
2.600E+0	4.785E-10
2.650E+0	4.771E-10
2.700E+0	4.779E-10
2.750E+0	4.789E-10
2.800E+0	4.812E-10
2.850E+0	4.845E-10
2.900E+0	4.845E-10
2.950E+0	4.873E-10
3.000E+0	4.911E-10
3.050E+0	4.953E-10
3.100E+0	4.963E-10
3.150E+0	4.969E-10
3.200E+0	5.048E-10
3.250E+0	5.171E-10
3.300E+0	5.334E-10
3.350E+0	5.520E-10
3.400E+0	5.708E-10
3.450E+0	5.926E-10
3.500E+0	6.160E-10
3.550E+0	6.357E-10
3.600E+0	6.486E-10
3.650E+0	6.537E-10
3.700E+0	6.567E-10
3.750E+0	6.597E-10
3.800E+0	6.343E-10
3.850E+0	5.515E-10
3.900E+0	4.420E-10
3.950E+0	3.521E-10
4.000E+0	1.190E-10
4.050E+0	-2.281E-11
4.100E+0	-2.230E-11
4.150E+0	-2.156E-11
4.200E+0	-2.213E-11
