Measured on 12:15:20 29/11/2024
Operated by: 	 Ennio, Kristof 
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-350.000
Comments: 	 2 retarding grids, suppr no grid small diameter

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.812E-10
5.000E-2	2.803E-10
1.000E-1	2.795E-10
1.500E-1	2.785E-10
2.000E-1	2.774E-10
2.500E-1	2.762E-10
3.000E-1	2.754E-10
3.500E-1	2.744E-10
4.000E-1	2.729E-10
4.500E-1	2.717E-10
5.000E-1	2.706E-10
5.500E-1	2.695E-10
6.000E-1	2.680E-10
6.500E-1	2.671E-10
7.000E-1	2.661E-10
7.500E-1	2.654E-10
8.000E-1	2.644E-10
8.500E-1	2.633E-10
9.000E-1	2.619E-10
9.500E-1	2.609E-10
1.000E+0	2.600E-10
1.050E+0	2.588E-10
1.100E+0	2.576E-10
1.150E+0	2.567E-10
1.200E+0	2.551E-10
1.250E+0	2.535E-10
1.300E+0	2.520E-10
1.350E+0	2.506E-10
1.400E+0	2.492E-10
1.450E+0	2.475E-10
1.500E+0	2.456E-10
1.550E+0	2.444E-10
1.600E+0	2.429E-10
1.650E+0	2.418E-10
1.700E+0	2.401E-10
1.750E+0	2.386E-10
1.800E+0	2.375E-10
1.850E+0	2.360E-10
1.900E+0	2.346E-10
1.950E+0	2.334E-10
2.000E+0	2.319E-10
2.050E+0	2.305E-10
2.100E+0	2.292E-10
2.150E+0	2.278E-10
2.200E+0	2.255E-10
2.250E+0	2.238E-10
2.300E+0	2.218E-10
2.350E+0	2.196E-10
2.400E+0	2.174E-10
2.450E+0	2.148E-10
2.500E+0	2.121E-10
2.550E+0	2.096E-10
2.600E+0	2.074E-10
2.650E+0	2.049E-10
2.700E+0	2.022E-10
2.750E+0	2.004E-10
2.800E+0	1.986E-10
2.850E+0	1.961E-10
2.900E+0	1.946E-10
2.950E+0	1.936E-10
3.000E+0	1.927E-10
3.050E+0	1.903E-10
3.100E+0	1.848E-10
3.150E+0	1.800E-10
3.200E+0	1.794E-10
3.250E+0	1.802E-10
3.300E+0	1.824E-10
3.350E+0	1.850E-10
3.400E+0	1.875E-10
3.450E+0	1.906E-10
3.500E+0	1.949E-10
3.550E+0	1.981E-10
3.600E+0	1.988E-10
3.650E+0	1.987E-10
3.700E+0	1.995E-10
3.750E+0	1.989E-10
3.800E+0	1.862E-10
3.850E+0	1.563E-10
3.900E+0	1.225E-10
3.950E+0	1.008E-10
4.000E+0	4.093E-11
4.050E+0	-8.307E-12
4.100E+0	-9.137E-12
4.150E+0	-9.349E-12
4.200E+0	-9.960E-12
