Measured on 11:23:57 29/11/2024
Operated by: 	 Ennio, Kristof 
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-20.000
Comments: 	 2 retarding grids, suppr no grid small diameter

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	20.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.820E-10
2.000E-2	2.820E-10
4.000E-2	2.820E-10
6.000E-2	2.824E-10
8.000E-2	2.832E-10
1.000E-1	2.841E-10
1.200E-1	2.871E-10
1.400E-1	2.931E-10
1.600E-1	3.044E-10
1.800E-1	3.218E-10
2.000E-1	3.404E-10
2.200E-1	3.593E-10
2.400E-1	3.765E-10
2.600E-1	3.917E-10
2.800E-1	4.041E-10
3.000E-1	4.130E-10
3.200E-1	4.204E-10
3.400E-1	4.258E-10
3.600E-1	4.301E-10
3.800E-1	4.342E-10
4.000E-1	4.376E-10
4.200E-1	4.409E-10
4.400E-1	4.443E-10
4.600E-1	4.476E-10
4.800E-1	4.509E-10
5.000E-1	4.535E-10
5.200E-1	4.555E-10
5.400E-1	4.581E-10
5.600E-1	4.602E-10
5.800E-1	4.626E-10
6.000E-1	4.649E-10
6.200E-1	4.668E-10
6.400E-1	4.693E-10
6.600E-1	4.717E-10
6.800E-1	4.741E-10
7.000E-1	4.761E-10
7.200E-1	4.771E-10
7.400E-1	4.793E-10
7.600E-1	4.811E-10
7.800E-1	4.829E-10
8.000E-1	4.843E-10
8.200E-1	4.860E-10
8.400E-1	4.875E-10
8.600E-1	4.889E-10
8.800E-1	4.915E-10
9.000E-1	4.936E-10
9.200E-1	4.956E-10
9.400E-1	4.977E-10
9.600E-1	4.997E-10
9.800E-1	5.011E-10
1.000E+0	5.020E-10
1.020E+0	5.023E-10
1.040E+0	5.034E-10
1.060E+0	5.044E-10
1.080E+0	5.054E-10
1.100E+0	5.060E-10
1.120E+0	5.063E-10
1.140E+0	5.065E-10
1.160E+0	5.064E-10
1.180E+0	5.069E-10
1.200E+0	5.083E-10
1.220E+0	5.095E-10
1.240E+0	5.103E-10
1.260E+0	5.111E-10
1.280E+0	5.121E-10
1.300E+0	5.124E-10
1.320E+0	5.131E-10
1.340E+0	5.138E-10
1.360E+0	5.140E-10
1.380E+0	5.140E-10
1.400E+0	5.144E-10
1.420E+0	5.153E-10
1.440E+0	5.155E-10
1.460E+0	5.154E-10
1.480E+0	5.154E-10
1.500E+0	5.157E-10
1.520E+0	5.152E-10
1.540E+0	5.146E-10
1.560E+0	5.140E-10
1.580E+0	5.143E-10
1.600E+0	5.148E-10
1.620E+0	5.151E-10
1.640E+0	5.158E-10
1.660E+0	5.175E-10
1.680E+0	5.200E-10
1.700E+0	5.228E-10
1.720E+0	5.254E-10
1.740E+0	5.265E-10
1.760E+0	5.265E-10
1.780E+0	5.261E-10
1.800E+0	5.255E-10
1.820E+0	5.251E-10
1.840E+0	5.247E-10
1.860E+0	5.245E-10
1.880E+0	5.247E-10
1.900E+0	5.253E-10
1.920E+0	5.259E-10
1.940E+0	5.264E-10
1.960E+0	5.265E-10
1.980E+0	5.269E-10
2.000E+0	5.269E-10
2.020E+0	5.268E-10
2.040E+0	5.267E-10
2.060E+0	5.276E-10
2.080E+0	5.281E-10
2.100E+0	5.290E-10
2.120E+0	5.295E-10
2.140E+0	5.303E-10
2.160E+0	5.308E-10
2.180E+0	5.303E-10
2.200E+0	5.296E-10
2.220E+0	5.299E-10
2.240E+0	5.301E-10
2.260E+0	5.302E-10
2.280E+0	5.297E-10
2.300E+0	5.290E-10
2.320E+0	5.281E-10
2.340E+0	5.271E-10
2.360E+0	5.269E-10
2.380E+0	5.263E-10
2.400E+0	5.242E-10
2.420E+0	5.231E-10
2.440E+0	5.228E-10
2.460E+0	5.219E-10
2.480E+0	5.208E-10
2.500E+0	5.194E-10
2.520E+0	5.183E-10
2.540E+0	5.159E-10
2.560E+0	5.142E-10
2.580E+0	5.127E-10
2.600E+0	5.112E-10
2.620E+0	5.114E-10
2.640E+0	5.115E-10
2.660E+0	5.101E-10
2.680E+0	5.093E-10
2.700E+0	5.078E-10
2.720E+0	5.070E-10
2.740E+0	5.057E-10
2.760E+0	5.054E-10
2.780E+0	5.048E-10
2.800E+0	5.054E-10
2.820E+0	5.049E-10
2.840E+0	5.056E-10
2.860E+0	5.060E-10
2.880E+0	5.068E-10
2.900E+0	5.075E-10
2.920E+0	5.076E-10
2.940E+0	5.084E-10
2.960E+0	5.039E-10
2.980E+0	4.968E-10
3.000E+0	5.094E-10
3.020E+0	5.126E-10
3.040E+0	5.139E-10
3.060E+0	5.141E-10
3.080E+0	5.135E-10
3.100E+0	5.096E-10
3.120E+0	5.019E-10
3.140E+0	4.971E-10
3.160E+0	4.944E-10
3.180E+0	4.939E-10
3.200E+0	4.961E-10
3.220E+0	4.991E-10
3.240E+0	5.014E-10
3.260E+0	5.061E-10
3.280E+0	5.080E-10
3.300E+0	5.134E-10
3.320E+0	5.191E-10
3.340E+0	5.257E-10
3.360E+0	5.301E-10
3.380E+0	5.361E-10
3.400E+0	5.409E-10
3.420E+0	5.467E-10
3.440E+0	5.519E-10
3.460E+0	5.587E-10
3.480E+0	5.654E-10
3.500E+0	5.701E-10
3.520E+0	5.732E-10
3.540E+0	5.758E-10
3.560E+0	5.784E-10
3.580E+0	5.785E-10
3.600E+0	5.804E-10
3.620E+0	5.818E-10
3.640E+0	5.807E-10
3.660E+0	5.784E-10
3.680E+0	5.768E-10
3.700E+0	5.744E-10
3.720E+0	5.753E-10
3.740E+0	5.727E-10
3.760E+0	5.682E-10
3.780E+0	5.572E-10
3.800E+0	5.367E-10
3.820E+0	5.085E-10
3.840E+0	4.685E-10
3.860E+0	4.264E-10
3.880E+0	3.789E-10
3.900E+0	3.386E-10
3.920E+0	3.120E-10
3.940E+0	2.804E-10
3.960E+0	2.409E-10
3.980E+0	1.756E-10
4.000E+0	8.020E-11
4.020E+0	-2.738E-11
4.040E+0	-2.876E-11
4.060E+0	-2.863E-11
4.080E+0	-2.830E-11
4.100E+0	-2.803E-11
4.120E+0	-2.726E-11
4.140E+0	-2.680E-11
4.160E+0	-2.704E-11
4.180E+0	-2.734E-11
4.200E+0	-2.760E-11
