Measured on 14:00:23 29/11/2024
Operated by: 	 Ennio, Kristof 
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-50.000
Comments: 	 2 retarding grids, suppr no grid small diameter

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	25.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	1.899E-10
2.500E-2	1.898E-10
5.000E-2	1.892E-10
7.500E-2	1.898E-10
1.000E-1	1.895E-10
1.250E-1	1.900E-10
1.500E-1	1.896E-10
1.750E-1	1.896E-10
2.000E-1	1.903E-10
2.250E-1	1.894E-10
2.500E-1	1.888E-10
2.750E-1	1.895E-10
3.000E-1	1.893E-10
3.250E-1	1.893E-10
3.500E-1	1.891E-10
3.750E-1	1.893E-10
4.000E-1	1.893E-10
4.250E-1	1.893E-10
4.500E-1	1.896E-10
4.750E-1	1.907E-10
5.000E-1	1.915E-10
5.250E-1	1.930E-10
5.500E-1	1.956E-10
5.750E-1	1.982E-10
6.000E-1	2.006E-10
6.250E-1	2.033E-10
6.500E-1	2.074E-10
6.750E-1	2.107E-10
7.000E-1	2.136E-10
7.250E-1	2.158E-10
7.500E-1	2.186E-10
7.750E-1	2.208E-10
8.000E-1	2.222E-10
8.250E-1	2.246E-10
8.500E-1	2.265E-10
8.750E-1	2.287E-10
9.000E-1	2.298E-10
9.250E-1	2.321E-10
9.500E-1	2.340E-10
9.750E-1	2.364E-10
1.000E+0	2.369E-10
1.025E+0	2.375E-10
1.050E+0	2.397E-10
1.075E+0	2.407E-10
1.100E+0	2.417E-10
1.125E+0	2.430E-10
1.150E+0	2.456E-10
1.175E+0	2.459E-10
1.200E+0	2.468E-10
1.225E+0	2.484E-10
1.250E+0	2.487E-10
1.275E+0	2.492E-10
1.300E+0	2.490E-10
1.325E+0	2.492E-10
1.350E+0	2.503E-10
1.375E+0	2.504E-10
1.400E+0	2.493E-10
1.425E+0	2.503E-10
1.450E+0	2.504E-10
1.475E+0	2.503E-10
1.500E+0	2.502E-10
1.525E+0	2.508E-10
1.550E+0	2.528E-10
1.575E+0	2.542E-10
1.600E+0	2.561E-10
1.625E+0	2.599E-10
1.650E+0	2.663E-10
1.675E+0	2.750E-10
1.700E+0	2.854E-10
1.725E+0	2.960E-10
1.750E+0	3.074E-10
1.775E+0	3.198E-10
1.800E+0	3.312E-10
1.825E+0	3.412E-10
1.850E+0	3.475E-10
1.875E+0	3.535E-10
1.900E+0	3.591E-10
1.925E+0	3.566E-10
1.950E+0	3.259E-10
1.975E+0	2.844E-10
2.000E+0	2.426E-10
2.025E+0	9.870E-11
2.050E+0	-1.013E-11
2.075E+0	-1.051E-11
2.100E+0	-1.039E-11
2.125E+0	-1.054E-11
2.150E+0	-1.092E-11
2.175E+0	-1.097E-11
2.200E+0	-1.110E-11
